ProteinID	GOs	#GOs	#A6P6V9	#F4HUK6	#Q8GTB6	#B1Q2B6	#I6WU39
NP_178298.2	GO:0046872|GO:0005576	2	0	0	1	0	1
NP_568232.1	GO:0046872|GO:0005737|GO:0048046	3	0	0	1	0	2
NP_178150.1	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
NP_001332071.1	GO:0005737	1	0	0	0	0	1
NP_051051.1	GO:0016740	1	0	0	0	1	0
NP_051088.1	GO:0046872|GO:0055114|GO:0016491	3	0	0	2	0	1
NP_181729.1	GO:0016740|GO:0046872|GO:0005737	3	0	0	0	1	2
NP_177509.1	GO:0046872|GO:0016491|GO:0055114|GO:0006629|GO:0006631	5	0	2	2	0	1
NP_187749.1	GO:0016740	1	0	0	0	1	0
NP_567417.1	GO:0016740	1	0	0	0	1	0
YP_009472108.1	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
NP_200151.2	GO:0016740|GO:0016746	2	0	0	0	2	0
NP_193932.1	GO:0055114|GO:0016491	2	0	0	2	0	0
NP_177040.2	GO:0046872	1	0	0	0	0	1
NP_001328002.1	GO:0005737	1	0	0	0	0	1
NP_001331640.1	GO:0046872|GO:0003824	2	0	0	0	1	1
NP_001032055.1	GO:0046872	1	0	0	0	0	1
NP_051049.1	GO:0016740|GO:0046872	2	0	0	0	1	1
NP_051055.1	GO:0046872	1	0	0	0	0	1
NP_568646.1	GO:0005737	1	0	0	0	0	1
NP_182151.1	GO:0005737	1	0	0	0	0	1
NP_194436.2	GO:0005737	1	0	0	0	0	1
NP_201143.1	GO:0003824|GO:0016874|GO:0005777|GO:0006629|GO:0006631	5	0	4	0	1	0
