ProteinID	GOs	#GOs	#A6P6V9	#F4HUK6	#Q8GTB6	#B1Q2B6	#I6WU39
Q8W571	GO:0016740|GO:0046872	2	0	0	0	1	1
Q3B724	GO:0016740	1	0	0	0	1	0
F4JYC8	GO:0046872	1	0	0	0	0	1
Q95748	GO:0016491|GO:0055114	2	0	0	2	0	0
A9QM73	GO:0005737	1	0	0	0	0	1
Q9LTX9	GO:0048046|GO:0005737	2	0	0	1	0	1
P29388	GO:0055114	1	0	0	1	0	0
F4IZR5	GO:0005737	1	0	0	0	0	1
Q5XEZ8	GO:0016740|GO:0005737	2	0	0	0	1	1
Q94HW2	GO:0016740|GO:0046872	2	0	0	0	1	1
Q38884	GO:0005737	1	0	0	0	0	1
Q9LE81	GO:0016740|GO:0046872	2	0	0	0	1	1
P93748	GO:0016740|GO:0046872|GO:0005737	3	0	0	0	1	2
P56767	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
P56779	GO:0046872|GO:0055114	2	0	0	1	0	1
Q9FM85	GO:0016740	1	0	0	0	1	0
Q9ZNS2	GO:0016874|GO:0005737	2	0	1	0	0	1
Q9SP32	GO:0046872|GO:0005737	2	0	0	0	0	2
O80467	GO:0016740|GO:0016746|GO:0016747	3	0	0	0	3	0
Q9S9Z2	GO:0005737	1	0	0	0	0	1
Q9LX73	GO:0016740	1	0	0	0	1	0
Q75QN6	GO:0005737	1	0	0	0	0	1
Q9SVC5	GO:0046872	1	0	0	0	0	1
Q9ZVR7	GO:0016740|GO:0016829	2	0	0	0	1	1
Q9S795	GO:0016491|GO:0055114	2	0	0	2	0	0
Q39202	GO:0016740	1	0	0	0	1	0
Q8GYW8	GO:0016740|GO:0016746|GO:0016747	3	0	0	0	3	0
Q940X9	GO:0005737	1	0	0	0	0	1
Q9SSM2	GO:0016829|GO:0050660|GO:0055114	3	0	0	2	0	1
Q84JX1	GO:0005576	1	0	0	1	0	0
Q9C5X3	GO:0005737	1	0	0	0	0	1
Q9M9U0	GO:0016740	1	0	0	0	1	0
O05000	GO:0055114	1	0	0	1	0	0
Q9SSW2	GO:0046872	1	0	0	0	0	1
Q8VYF4	GO:0016740	1	0	0	0	1	0
P94017	GO:0005576	1	0	0	1	0	0
P50546	GO:0016740	1	0	0	0	1	0
Q9ZUE0	GO:0016740	1	0	0	0	1	0
Q6DUW7	GO:0005576|GO:0048046	2	0	0	2	0	0
Q9ZT94	GO:0016740|GO:0046872	2	0	0	0	1	1
P92935	GO:0005737	1	0	0	0	0	1
F4HXZ1	GO:0005737	1	0	0	0	0	1
P83755	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
P60620	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
Q9FF29	GO:0016740	1	0	0	0	1	0
Q8L968	GO:0046872|GO:0005737	2	0	0	0	0	2
P92558	GO:0055114	1	0	0	1	0	0
Q9SZB9	GO:0046872|GO:0016491|GO:0055114|GO:0005576	4	0	0	3	0	1
Q9LU44	GO:0046872	1	0	0	0	0	1
Q9LDU6	GO:0016491|GO:0055114|GO:0006629	3	0	1	2	0	0
Q9ZUG4	GO:0005737	1	0	0	0	0	1
Q8VYZ2	GO:0046872|GO:0005576	2	0	0	1	0	1
Q949P2	GO:0046872|GO:0005737|GO:0048046	3	0	0	1	0	2
Q9ZT84	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
O64780	GO:0016740	1	0	0	0	1	0
Q8GYU3	GO:0005737	1	0	0	0	0	1
Q93V61	GO:0006629	1	0	1	0	0	0
Q9FHM4	GO:0005737	1	0	0	0	0	1
F4IK45	GO:0046872|GO:0016491|GO:0055114	3	0	0	2	0	1
P93306	GO:0016491|GO:0055114	2	0	0	2	0	0
Q9FQ04	GO:0046872|GO:0005737	2	0	0	0	0	2
