Gene stable ID	Transcript stable ID	GO term accession	GO term name	UniProtKB/Swiss-Prot ID
AT3G49430	AT3G49430.7	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.7	GO:0045292	mRNA cis splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.4	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.4	GO:0003676	nucleic acid binding	A2RVS6
AT3G49430	AT3G49430.4	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.4	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.4	GO:0005829	cytosol	A2RVS6
AT3G49430	AT3G49430.4	GO:0003729	mRNA binding	A2RVS6
AT3G49430	AT3G49430.4	GO:0006397	mRNA processing	A2RVS6
AT3G49430	AT3G49430.4	GO:0005730	nucleolus	A2RVS6
AT3G49430	AT3G49430.4	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.4	GO:0005654	nucleoplasm	A2RVS6
AT3G49430	AT3G49430.4	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.4	GO:0005681	spliceosomal complex	A2RVS6
AT3G49430	AT3G49430.4	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.4	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.4	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.4	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.4	GO:0045292	mRNA cis splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.5	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.5	GO:0003676	nucleic acid binding	A2RVS6
AT3G49430	AT3G49430.5	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.5	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.5	GO:0005829	cytosol	A2RVS6
AT3G49430	AT3G49430.5	GO:0003729	mRNA binding	A2RVS6
AT3G49430	AT3G49430.5	GO:0006397	mRNA processing	A2RVS6
AT3G49430	AT3G49430.5	GO:0005730	nucleolus	A2RVS6
AT3G49430	AT3G49430.5	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.5	GO:0005654	nucleoplasm	A2RVS6
AT3G49430	AT3G49430.5	GO:0008380	RNA splicing	A2RVS6
AT3G49430	AT3G49430.5	GO:0005681	spliceosomal complex	A2RVS6
AT3G49430	AT3G49430.5	GO:0005634	nucleus	A2RVS6
AT3G49430	AT3G49430.5	GO:0003723	RNA binding	A2RVS6
AT3G49430	AT3G49430.5	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	A2RVS6
AT3G49430	AT3G49430.5	GO:0016607	nuclear speck	A2RVS6
AT3G49430	AT3G49430.5	GO:0045292	mRNA cis splicing, via spliceosome	A2RVS6
AT5G19400	AT5G19400.3	GO:0043021	ribonucleoprotein complex binding	A9QM73
AT5G19400	AT5G19400.3	GO:0007004	telomere maintenance via telomerase	A9QM73
AT5G19400	AT5G19400.3	GO:0040008	regulation of growth	A9QM73
AT5G19400	AT5G19400.3	GO:0000932	P-body	A9QM73
AT5G19400	AT5G19400.3	GO:0006952	defense response	A9QM73
AT5G19400	AT5G19400.3	GO:0005634	nucleus	A9QM73
AT5G19400	AT5G19400.3	GO:0005737	cytoplasm	A9QM73
AT5G19400	AT5G19400.3	GO:0005515	protein binding	A9QM73
AT5G19400	AT5G19400.3	GO:0007275	multicellular organism development	A9QM73
AT5G19400	AT5G19400.3	GO:0000932	P-body	A9QM73
AT5G19400	AT5G19400.3	GO:0005737	cytoplasm	A9QM73
AT5G19400	AT5G19400.3	GO:0032210	regulation of telomere maintenance via telomerase	A9QM73
AT5G19400	AT5G19400.3	GO:0042162	telomeric DNA binding	A9QM73
AT5G19400	AT5G19400.3	GO:0070034	telomerase RNA binding	A9QM73
AT5G19400	AT5G19400.3	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	A9QM73
AT5G19400	AT5G19400.3	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	A9QM73
AT5G19400	AT5G19400.3	GO:0051321	meiotic cell cycle	A9QM73
AT5G19400	AT5G19400.3	GO:0090306	spindle assembly involved in meiosis	A9QM73
AT5G19400	AT5G19400.3	GO:0005697	telomerase holoenzyme complex	A9QM73
AT5G19400	AT5G19400.3	GO:0060548	negative regulation of cell death	A9QM73
AT5G19400	AT5G19400.3	GO:0012501	programmed cell death	A9QM73
AT5G19400	AT5G19400.3	GO:0031347	regulation of defense response	A9QM73
AT5G19400	AT5G19400.3	GO:0004540	ribonuclease activity	A9QM73
AT5G19400	AT5G19400.3	GO:0043487	regulation of RNA stability	A9QM73
AT5G19400	AT5G19400.3	GO:0005515	protein binding	A9QM73
AT5G19400	AT5G19400.1	GO:0043021	ribonucleoprotein complex binding	A9QM73
AT5G19400	AT5G19400.1	GO:0007004	telomere maintenance via telomerase	A9QM73
AT5G19400	AT5G19400.1	GO:0040008	regulation of growth	A9QM73
AT5G19400	AT5G19400.1	GO:0000932	P-body	A9QM73
AT5G19400	AT5G19400.1	GO:0006952	defense response	A9QM73
AT5G19400	AT5G19400.1	GO:0005634	nucleus	A9QM73
AT5G19400	AT5G19400.1	GO:0005737	cytoplasm	A9QM73
AT5G19400	AT5G19400.1	GO:0005515	protein binding	A9QM73
AT5G19400	AT5G19400.1	GO:0007275	multicellular organism development	A9QM73
AT5G19400	AT5G19400.1	GO:0000932	P-body	A9QM73
AT5G19400	AT5G19400.1	GO:0005737	cytoplasm	A9QM73
AT5G19400	AT5G19400.1	GO:0032210	regulation of telomere maintenance via telomerase	A9QM73
AT5G19400	AT5G19400.1	GO:0042162	telomeric DNA binding	A9QM73
AT5G19400	AT5G19400.1	GO:0070034	telomerase RNA binding	A9QM73
AT5G19400	AT5G19400.1	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	A9QM73
AT5G19400	AT5G19400.1	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	A9QM73
AT5G19400	AT5G19400.1	GO:0051321	meiotic cell cycle	A9QM73
AT5G19400	AT5G19400.1	GO:0090306	spindle assembly involved in meiosis	A9QM73
AT5G19400	AT5G19400.1	GO:0005697	telomerase holoenzyme complex	A9QM73
AT5G19400	AT5G19400.1	GO:0060548	negative regulation of cell death	A9QM73
AT5G19400	AT5G19400.1	GO:0012501	programmed cell death	A9QM73
AT5G19400	AT5G19400.1	GO:0031347	regulation of defense response	A9QM73
AT5G19400	AT5G19400.1	GO:0004540	ribonuclease activity	A9QM73
AT5G19400	AT5G19400.1	GO:0043487	regulation of RNA stability	A9QM73
AT5G19400	AT5G19400.1	GO:0005515	protein binding	A9QM73
AT5G19400	AT5G19400.2	GO:0043021	ribonucleoprotein complex binding	A9QM73
AT5G19400	AT5G19400.2	GO:0007004	telomere maintenance via telomerase	A9QM73
AT5G19400	AT5G19400.2	GO:0040008	regulation of growth	A9QM73
AT5G19400	AT5G19400.2	GO:0000932	P-body	A9QM73
AT5G19400	AT5G19400.2	GO:0006952	defense response	A9QM73
AT5G19400	AT5G19400.2	GO:0005634	nucleus	A9QM73
AT5G19400	AT5G19400.2	GO:0005737	cytoplasm	A9QM73
AT5G19400	AT5G19400.2	GO:0005515	protein binding	A9QM73
AT5G19400	AT5G19400.2	GO:0007275	multicellular organism development	A9QM73
AT5G19400	AT5G19400.2	GO:0000932	P-body	A9QM73
AT5G19400	AT5G19400.2	GO:0005737	cytoplasm	A9QM73
AT5G19400	AT5G19400.2	GO:0032210	regulation of telomere maintenance via telomerase	A9QM73
AT5G19400	AT5G19400.2	GO:0042162	telomeric DNA binding	A9QM73
AT5G19400	AT5G19400.2	GO:0070034	telomerase RNA binding	A9QM73
AT5G19400	AT5G19400.2	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	A9QM73
AT5G19400	AT5G19400.2	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	A9QM73
AT5G19400	AT5G19400.2	GO:0051321	meiotic cell cycle	A9QM73
AT5G19400	AT5G19400.2	GO:0090306	spindle assembly involved in meiosis	A9QM73
AT5G19400	AT5G19400.2	GO:0005697	telomerase holoenzyme complex	A9QM73
AT5G19400	AT5G19400.2	GO:0060548	negative regulation of cell death	A9QM73
AT5G19400	AT5G19400.2	GO:0012501	programmed cell death	A9QM73
AT5G19400	AT5G19400.2	GO:0031347	regulation of defense response	A9QM73
AT5G19400	AT5G19400.2	GO:0004540	ribonuclease activity	A9QM73
AT5G19400	AT5G19400.2	GO:0043487	regulation of RNA stability	A9QM73
AT5G19400	AT5G19400.2	GO:0005515	protein binding	A9QM73
AT3G54280	AT3G54280.1	GO:1902185	positive regulation of shoot apical meristem development	B5BT18
AT3G54280	AT3G54280.1	GO:0000166	nucleotide binding	B5BT18
AT3G54280	AT3G54280.1	GO:0005524	ATP binding	B5BT18
AT3G54280	AT3G54280.1	GO:0016787	hydrolase activity	B5BT18
AT3G54280	AT3G54280.1	GO:0003677	DNA binding	B5BT18
AT3G54280	AT3G54280.1	GO:0005634	nucleus	B5BT18
AT3G54280	AT3G54280.1	GO:0004386	helicase activity	B5BT18
AT3G54280	AT3G54280.1	GO:0005634	nucleus	B5BT18
AT3G54280	AT3G54280.1	GO:0003677	DNA binding	B5BT18
AT3G54280	AT3G54280.1	GO:0008094	DNA-dependent ATPase activity	B5BT18
AT4G15570	AT4G15570.1	GO:0009875	pollen-pistil interaction	B6SFA4
AT4G15570	AT4G15570.1	GO:0009553	embryo sac development	B6SFA4
AT4G15570	AT4G15570.1	GO:0000166	nucleotide binding	B6SFA4
AT4G15570	AT4G15570.1	GO:0005524	ATP binding	B6SFA4
AT4G15570	AT4G15570.1	GO:0016787	hydrolase activity	B6SFA4
AT4G15570	AT4G15570.1	GO:0005634	nucleus	B6SFA4
AT4G15570	AT4G15570.1	GO:0004386	helicase activity	B6SFA4
AT4G15570	AT4G15570.1	GO:0003723	RNA binding	B6SFA4
AT4G15570	AT4G15570.1	GO:0010183	pollen tube guidance	B6SFA4
AT4G15570	AT4G15570.3	GO:0009875	pollen-pistil interaction	B6SFA4
AT4G15570	AT4G15570.3	GO:0009553	embryo sac development	B6SFA4
AT4G15570	AT4G15570.3	GO:0000166	nucleotide binding	B6SFA4
AT4G15570	AT4G15570.3	GO:0005524	ATP binding	B6SFA4
AT4G15570	AT4G15570.3	GO:0016787	hydrolase activity	B6SFA4
AT4G15570	AT4G15570.3	GO:0005634	nucleus	B6SFA4
AT4G15570	AT4G15570.3	GO:0004386	helicase activity	B6SFA4
AT4G15570	AT4G15570.3	GO:0003723	RNA binding	B6SFA4
AT4G15570	AT4G15570.3	GO:0010183	pollen tube guidance	B6SFA4
AT5G62570	AT5G62570.2	GO:0080142	regulation of salicylic acid biosynthetic process	C0SVV6
AT5G62570	AT5G62570.2	GO:0003677	DNA binding	C0SVV6
AT5G62570	AT5G62570.2	GO:0005634	nucleus	C0SVV6
AT5G62570	AT5G62570.2	GO:0005516	calmodulin binding	C0SVV6
AT5G62570	AT5G62570.2	GO:0006355	regulation of transcription, DNA-templated	C0SVV6
AT5G62570	AT5G62570.2	GO:0005516	calmodulin binding	C0SVV6
AT5G62570	AT5G62570.2	GO:0005634	nucleus	C0SVV6
AT5G62570	AT5G62570.2	GO:0003700	DNA-binding transcription factor activity	C0SVV6
AT5G62570	AT5G62570.2	GO:0043565	sequence-specific DNA binding	C0SVV6
AT5G62570	AT5G62570.2	GO:1902478	negative regulation of defense response to bacterium, incompatible interaction	C0SVV6
AT1G15130	AT1G15130.1	GO:0005770	late endosome	F4HXZ1
AT1G15130	AT1G15130.1	GO:0043621	protein self-association	F4HXZ1
AT1G15130	AT1G15130.1	GO:0009506	plasmodesma	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005771	multivesicular body	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005829	cytosol	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005737	cytoplasm	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005737	cytoplasm	F4HXZ1
AT1G15130	AT1G15130.1	GO:0015031	protein transport	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005768	endosome	F4HXZ1
AT1G15130	AT1G15130.1	GO:0043130	ubiquitin binding	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005515	protein binding	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005770	late endosome	F4HXZ1
AT1G15130	AT1G15130.1	GO:0007033	vacuole organization	F4HXZ1
AT1G15130	AT1G15130.1	GO:0036257	multivesicular body organization	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005771	multivesicular body	F4HXZ1
AT1G15130	AT1G15130.1	GO:0005515	protein binding	F4HXZ1
AT2G46950	AT2G46950.1	GO:0046872	metal ion binding	F4IK45
AT2G46950	AT2G46950.1	GO:0016020	membrane	F4IK45
AT2G46950	AT2G46950.1	GO:0016021	integral component of membrane	F4IK45
AT2G46950	AT2G46950.1	GO:0004497	monooxygenase activity	F4IK45
AT2G46950	AT2G46950.1	GO:0016491	oxidoreductase activity	F4IK45
AT2G46950	AT2G46950.1	GO:0055114	oxidation-reduction process	F4IK45
AT2G46950	AT2G46950.1	GO:0005506	iron ion binding	F4IK45
AT2G46950	AT2G46950.1	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	F4IK45
AT2G46950	AT2G46950.1	GO:0020037	heme binding	F4IK45
AT2G46950	AT2G46950.1	GO:0005829	cytosol	F4IK45
AT2G46950	AT2G46950.1	GO:0004497	monooxygenase activity	F4IK45
AT3G03110	AT3G03110.1	GO:0005049	nuclear export signal receptor activity	F4IZR5
AT3G03110	AT3G03110.1	GO:0005049	nuclear export signal receptor activity	F4IZR5
AT3G03110	AT3G03110.1	GO:0009860	pollen tube growth	F4IZR5
AT3G03110	AT3G03110.1	GO:0009846	pollen germination	F4IZR5
AT3G03110	AT3G03110.1	GO:0009553	embryo sac development	F4IZR5
AT3G03110	AT3G03110.1	GO:0009506	plasmodesma	F4IZR5
AT3G03110	AT3G03110.1	GO:0016020	membrane	F4IZR5
AT3G03110	AT3G03110.1	GO:0005634	nucleus	F4IZR5
AT3G03110	AT3G03110.1	GO:0006886	intracellular protein transport	F4IZR5
AT3G03110	AT3G03110.1	GO:0015031	protein transport	F4IZR5
AT3G03110	AT3G03110.1	GO:0008536	Ran GTPase binding	F4IZR5
AT3G03110	AT3G03110.1	GO:0007275	multicellular organism development	F4IZR5
AT3G03110	AT3G03110.1	GO:0009555	pollen development	F4IZR5
AT3G03110	AT3G03110.1	GO:0051028	mRNA transport	F4IZR5
AT3G03110	AT3G03110.1	GO:0005643	nuclear pore	F4IZR5
AT3G03110	AT3G03110.1	GO:0005737	cytoplasm	F4IZR5
AT3G03110	AT3G03110.1	GO:0005634	nucleus	F4IZR5
AT3G03110	AT3G03110.1	GO:0031965	nuclear membrane	F4IZR5
AT3G03110	AT3G03110.1	GO:0000055	ribosomal large subunit export from nucleus	F4IZR5
AT3G03110	AT3G03110.1	GO:0000056	ribosomal small subunit export from nucleus	F4IZR5
AT3G03110	AT3G03110.1	GO:0046825	regulation of protein export from nucleus	F4IZR5
AT3G03110	AT3G03110.1	GO:0051168	nuclear export	F4IZR5
AT3G05680	AT3G05680.1	GO:0080009	mRNA methylation	F4J8G7
AT3G05680	AT3G05680.1	GO:0005654	nucleoplasm	F4J8G7
AT3G05680	AT3G05680.1	GO:0016607	nuclear speck	F4J8G7
AT3G05680	AT3G05680.1	GO:0005634	nucleus	F4J8G7
AT3G05680	AT3G05680.1	GO:0005515	protein binding	F4J8G7
AT3G05680	AT3G05680.1	GO:0006397	mRNA processing	F4J8G7
AT3G05680	AT3G05680.1	GO:0008380	RNA splicing	F4J8G7
AT3G05680	AT3G05680.1	GO:0005654	nucleoplasm	F4J8G7
AT3G05680	AT3G05680.1	GO:0016607	nuclear speck	F4J8G7
AT3G05680	AT3G05680.1	GO:0009793	embryo development ending in seed dormancy	F4J8G7
AT3G05680	AT3G05680.2	GO:0080009	mRNA methylation	F4J8G7
AT3G05680	AT3G05680.2	GO:0005654	nucleoplasm	F4J8G7
AT3G05680	AT3G05680.2	GO:0016607	nuclear speck	F4J8G7
AT3G05680	AT3G05680.2	GO:0005634	nucleus	F4J8G7
AT3G05680	AT3G05680.2	GO:0005515	protein binding	F4J8G7
AT3G05680	AT3G05680.2	GO:0006397	mRNA processing	F4J8G7
AT3G05680	AT3G05680.2	GO:0008380	RNA splicing	F4J8G7
AT3G05680	AT3G05680.2	GO:0005654	nucleoplasm	F4J8G7
AT3G05680	AT3G05680.2	GO:0016607	nuclear speck	F4J8G7
AT3G05680	AT3G05680.2	GO:0009793	embryo development ending in seed dormancy	F4J8G7
AT3G20150	AT3G20150.1	GO:0008574	ATP-dependent microtubule motor activity, plus-end-directed	F4JDI6
AT3G20150	AT3G20150.1	GO:0005871	kinesin complex	F4JDI6
AT3G20150	AT3G20150.1	GO:0000166	nucleotide binding	F4JDI6
AT3G20150	AT3G20150.1	GO:0005524	ATP binding	F4JDI6
AT3G20150	AT3G20150.1	GO:0003774	motor activity	F4JDI6
AT3G20150	AT3G20150.1	GO:0003777	microtubule motor activity	F4JDI6
AT3G20150	AT3G20150.1	GO:0008017	microtubule binding	F4JDI6
AT3G20150	AT3G20150.1	GO:0007018	microtubule-based movement	F4JDI6
AT3G20150	AT3G20150.1	GO:0005874	microtubule	F4JDI6
AT3G20150	AT3G20150.1	GO:0016887	ATPase activity	F4JDI6
AT3G20150	AT3G20150.1	GO:0003777	microtubule motor activity	F4JDI6
AT3G20150	AT3G20150.1	GO:0007018	microtubule-based movement	F4JDI6
AT3G20150	AT3G20150.1	GO:0008017	microtubule binding	F4JDI6
AT3G20150	AT3G20150.1	GO:0005874	microtubule	F4JDI6
AT4G36760	AT4G36760.1	GO:0010013	N-1-naphthylphthalamic acid binding	F4JQH3
AT4G36760	AT4G36760.1	GO:0031090	organelle membrane	F4JQH3
AT4G36760	AT4G36760.1	GO:0009926	auxin polar transport	F4JQH3
AT4G36760	AT4G36760.1	GO:0016787	hydrolase activity	F4JQH3
AT4G36760	AT4G36760.1	GO:0046872	metal ion binding	F4JQH3
AT4G36760	AT4G36760.1	GO:0005886	plasma membrane	F4JQH3
AT4G36760	AT4G36760.1	GO:0016020	membrane	F4JQH3
AT4G36760	AT4G36760.1	GO:0008233	peptidase activity	F4JQH3
AT4G36760	AT4G36760.1	GO:0006508	proteolysis	F4JQH3
AT4G36760	AT4G36760.1	GO:0005783	endoplasmic reticulum	F4JQH3
AT4G36760	AT4G36760.1	GO:0005829	cytosol	F4JQH3
AT4G36760	AT4G36760.1	GO:0005829	cytosol	F4JQH3
AT4G36760	AT4G36760.1	GO:0005886	plasma membrane	F4JQH3
AT4G36760	AT4G36760.1	GO:0005886	plasma membrane	F4JQH3
AT4G36760	AT4G36760.1	GO:0005737	cytoplasm	F4JQH3
AT4G36760	AT4G36760.1	GO:0005737	cytoplasm	F4JQH3
AT4G36760	AT4G36760.1	GO:0008270	zinc ion binding	F4JQH3
AT4G36760	AT4G36760.1	GO:0008237	metallopeptidase activity	F4JQH3
AT4G36760	AT4G36760.1	GO:0004177	aminopeptidase activity	F4JQH3
AT4G36760	AT4G36760.1	GO:0004177	aminopeptidase activity	F4JQH3
AT4G36760	AT4G36760.1	GO:0070006	metalloaminopeptidase activity	F4JQH3
AT4G36760	AT4G36760.1	GO:0043231	intracellular membrane-bounded organelle	F4JQH3
AT4G36760	AT4G36760.1	GO:0030145	manganese ion binding	F4JQH3
AT4G20310	AT4G20310.4	GO:1900457	regulation of brassinosteroid mediated signaling pathway	F4JUU5
AT4G20310	AT4G20310.4	GO:0004222	metalloendopeptidase activity	F4JUU5
AT4G20310	AT4G20310.4	GO:0046872	metal ion binding	F4JUU5
AT4G20310	AT4G20310.4	GO:0016020	membrane	F4JUU5
AT4G20310	AT4G20310.4	GO:0016021	integral component of membrane	F4JUU5
AT4G20310	AT4G20310.4	GO:0005794	Golgi apparatus	F4JUU5
AT4G20310	AT4G20310.4	GO:0000139	Golgi membrane	F4JUU5
AT4G20310	AT4G20310.4	GO:0000139	Golgi membrane	F4JUU5
AT4G20310	AT4G20310.4	GO:0006508	proteolysis	F4JUU5
AT4G20310	AT4G20310.4	GO:0016787	hydrolase activity	F4JUU5
AT4G20310	AT4G20310.4	GO:0008233	peptidase activity	F4JUU5
AT4G20310	AT4G20310.4	GO:0006508	proteolysis	F4JUU5
AT4G20310	AT4G20310.4	GO:0004222	metalloendopeptidase activity	F4JUU5
AT4G20310	AT4G20310.4	GO:0009651	response to salt stress	F4JUU5
AT4G20310	AT4G20310.4	GO:0008237	metallopeptidase activity	F4JUU5
AT4G20310	AT4G20310.4	GO:0005737	cytoplasm	F4JUU5
AT4G20310	AT4G20310.4	GO:0006508	proteolysis	F4JUU5
AT4G20310	AT4G20310.4	GO:0004222	metalloendopeptidase activity	F4JUU5
AT4G20310	AT4G20310.4	GO:0071475	cellular hyperosmotic salinity response	F4JUU5
AT4G20310	AT4G20310.4	GO:1905897	regulation of response to endoplasmic reticulum stress	F4JUU5
AT4G20310	AT4G20310.4	GO:0031293	membrane protein intracellular domain proteolysis	F4JUU5
AT5G35210	AT5G35210.1	GO:0045893	positive regulation of transcription, DNA-templated	F4JYC8
AT5G35210	AT5G35210.1	GO:0046872	metal ion binding	F4JYC8
AT5G35210	AT5G35210.1	GO:0016020	membrane	F4JYC8
AT5G35210	AT5G35210.1	GO:0016021	integral component of membrane	F4JYC8
AT5G35210	AT5G35210.1	GO:0009507	chloroplast	F4JYC8
AT5G35210	AT5G35210.1	GO:0009536	plastid	F4JYC8
AT5G35210	AT5G35210.1	GO:0005634	nucleus	F4JYC8
AT5G35210	AT5G35210.1	GO:0005634	nucleus	F4JYC8
AT5G35210	AT5G35210.1	GO:0009941	chloroplast envelope	F4JYC8
AT5G35210	AT5G35210.1	GO:0009527	plastid outer membrane	F4JYC8
AT5G35210	AT5G35210.1	GO:0009707	chloroplast outer membrane	F4JYC8
AT5G35210	AT5G35210.1	GO:0009707	chloroplast outer membrane	F4JYC8
AT5G35210	AT5G35210.1	GO:0005515	protein binding	F4JYC8
AT5G35210	AT5G35210.1	GO:0035064	methylated histone binding	F4JYC8
AT5G35210	AT5G35210.1	GO:0010019	chloroplast-nucleus signaling pathway	F4JYC8
AT5G35210	AT5G35210.1	GO:0010019	chloroplast-nucleus signaling pathway	F4JYC8
ATCG00490	ATCG00490.1	GO:0019253	reductive pentose-phosphate cycle	O03042
ATCG00490	ATCG00490.1	GO:0009853	photorespiration	O03042
