Query ID	 Blast best match ID
utg000013c.g277	YP_009472108.1
utg000013c.g279	NP_001154794.1
utg000013c.g281	NP_001077587.1
utg000013c.g282	NP_194129.1
utg000013c.g286	NP_001077693.1
utg000013c.g290	NP_001328700.1
utg000013c.g292	NP_181041.1
utg000013c.g293	YP_009472114.2
utg000013c.g295	NP_197625.1
utg000013c.g296	NP_201037.1
utg000013c.g300	NP_194638.1
utg000013c.g301	YP_009472124.2
utg000013c.g302	YP_009472126.2
utg000013c.g303	NP_192840.1
utg000014c.g311	NP_001185046.1
utg000016l.g317	NP_001328700.1
utg000016l.g318	NP_174931.1
utg000016l.g321	NP_194301.1
utg000016l.g324	NP_001323535.1
utg000018l.g330	NP_001328700.1
utg000019l.g332	NP_180123.1
utg000019l.g335	NP_566193.2
utg000019l.g336	NP_566201.1
utg000019l.g343	NP_001077571.1
utg000019l.g346	NP_177397.1
utg000019l.g347	NP_172625.3
utg000020l.g348	NP_176572.1
utg000021l.g349	NP_849799.1
utg000021l.g350	NP_001326470.1
utg000024c.g352	NP_001078599.1
utg000024c.g353	NP_001078599.1
utg000024c.g354	NP_001031698.1
utg000025l.g355	NP_180544.1
utg000026l.g362	NP_193111.2
utg000028c.g369	NP_178109.2
utg000028c.g372	NP_198084.1
utg000029c.g375	NP_197761.2
utg000031l.g379	NP_197360.2
utg000032l.g382	NP_175044.1
utg000032l.g383	NP_198714.1
utg000032l.g386	NP_191074.2
utg000034c.g387	NP_001332071.1
utg000034c.g388	NP_001324561.1
utg000035l.g391	NP_194817.2
utg000036c.g395	NP_178330.1
utg000039l.g398	NP_001119119.1
utg000041l.g400	NP_973391.1
utg000041l.g401	NP_568232.1
utg000042l.g402	NP_200151.2
utg000042l.g407	NP_001319461.1
utg000045l.g410	NP_195557.2
utg000045l.g414	NP_001328700.1
utg000045l.g415	NP_182138.1
utg000045l.g416	NP_001328700.1
utg000046l.g417	NP_177182.2
utg000046l.g418	NP_001331640.1
utg000047l.g422	NP_001189876.1
utg000047l.g423	NP_001324027.1
utg000048c.g426	NP_174447.2
utg000049l.g427	NP_190812.1
utg000051l.g429	NP_175851.1
utg000052c.g432	NP_181729.1
utg000053l.g433	NP_176180.1
utg000053l.g435	NP_001078008.1
utg000053l.g436	NP_187023.1
utg000053l.g441	NP_192886.1
utg000054l.g443	NP_001328700.1
utg000054l.g445	NP_193785.1
utg000055l.g450	NP_567473.1
utg000055l.g452	NP_178020.1
utg000055l.g454	NP_174567.1
utg000056c.g455	NP_176904.1
utg000060l.g458	NP_188316.1
utg000072l.g466	NP_179903.1
utg000072l.g467	NP_193932.1
utg000073l.g468	NP_001118295.1
utg000073l.g469	NP_001320243.1
utg000073l.g471	NP_001031570.1
utg000073l.g472	NP_175354.1
utg000076c.g473	NP_196325.1
utg000076c.g474	NP_180087.1
utg000077c.g475	NP_180512.1
utg000079c.g476	NP_001190336.1
utg000081l.g477	NP_001327046.1
utg000085l.g481	NP_197839.1
utg000086l.g482	NP_001322986.1
utg000086l.g483	NP_178985.1
utg000086l.g484	NP_001321567.1
utg000086l.g485	NP_001190119.2
utg000086l.g486	NP_177040.2
utg000087c.g489	NP_001319549.1
utg000087c.g490	NP_001319549.1
utg000087c.g491	NP_001319549.1
utg000088l.g492	NP_001318851.1
utg000088l.g493	NP_189372.1
