Gene stable ID	Transcript stable ID	GO term accession	GO term name	RefSeq peptide ID
AT5G51300	AT5G51300.3	GO:0045131	pre-mRNA branch point binding	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0005654	nucleoplasm	NP_001032055.1
AT5G51300	AT5G51300.3	GO:0005730	nucleolus	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0003676	nucleic acid binding	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0046872	metal ion binding	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0005634	nucleus	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0003723	RNA binding	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0008270	zinc ion binding	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0009737	response to abscisic acid	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0005515	protein binding	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0006397	mRNA processing	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0000398	mRNA splicing, via spliceosome	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0008380	RNA splicing	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0005681	spliceosomal complex	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0009738	abscisic acid-activated signaling pathway	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0045131	pre-mRNA branch point binding	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0005654	nucleoplasm	NP_001032055.1
AT5G51300	AT5G51300.2	GO:0005730	nucleolus	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0003676	nucleic acid binding	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0046872	metal ion binding	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0005634	nucleus	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0003723	RNA binding	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0008270	zinc ion binding	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0009737	response to abscisic acid	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0005515	protein binding	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0006397	mRNA processing	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0000398	mRNA splicing, via spliceosome	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0008380	RNA splicing	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0005681	spliceosomal complex	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0009738	abscisic acid-activated signaling pathway	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0045131	pre-mRNA branch point binding	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0005654	nucleoplasm	NP_001032055.1
AT5G51300	AT5G51300.1	GO:0005730	nucleolus	NP_001032055.1
AT1G20920	AT1G20920.1	GO:0003676	nucleic acid binding	NP_001077571.1
AT1G20920	AT1G20920.1	GO:0000166	nucleotide binding	NP_001077571.1
AT1G20920	AT1G20920.1	GO:0005524	ATP binding	NP_001077571.1
AT1G20920	AT1G20920.1	GO:0016787	hydrolase activity	NP_001077571.1
AT1G20920	AT1G20920.1	GO:0005634	nucleus	NP_001077571.1
AT1G20920	AT1G20920.1	GO:0004386	helicase activity	NP_001077571.1
AT1G20920	AT1G20920.1	GO:0003723	RNA binding	NP_001077571.1
AT1G20920	AT1G20920.1	GO:0000398	mRNA splicing, via spliceosome	NP_001077571.1
AT1G20920	AT1G20920.1	GO:0003724	RNA helicase activity	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0003676	nucleic acid binding	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0000166	nucleotide binding	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0005524	ATP binding	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0016787	hydrolase activity	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0005634	nucleus	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0004386	helicase activity	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0003723	RNA binding	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0000398	mRNA splicing, via spliceosome	NP_001077571.1
AT1G20920	AT1G20920.5	GO:0003724	RNA helicase activity	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0003676	nucleic acid binding	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0000166	nucleotide binding	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0005524	ATP binding	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0016787	hydrolase activity	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0005634	nucleus	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0004386	helicase activity	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0003723	RNA binding	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0000398	mRNA splicing, via spliceosome	NP_001077571.1
AT1G20920	AT1G20920.7	GO:0003724	RNA helicase activity	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0003676	nucleic acid binding	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0000166	nucleotide binding	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0005524	ATP binding	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0016787	hydrolase activity	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0005634	nucleus	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0004386	helicase activity	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0003723	RNA binding	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0000398	mRNA splicing, via spliceosome	NP_001077571.1
AT1G20920	AT1G20920.3	GO:0003724	RNA helicase activity	NP_001077571.1
AT1G20920	AT1G20920.2	GO:0005524	ATP binding	NP_001077571.1
AT1G20920	AT1G20920.2	GO:0003676	nucleic acid binding	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0003676	nucleic acid binding	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0000166	nucleotide binding	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0005524	ATP binding	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0016787	hydrolase activity	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0005634	nucleus	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0004386	helicase activity	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0003723	RNA binding	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0000398	mRNA splicing, via spliceosome	NP_001077571.1
AT1G20920	AT1G20920.6	GO:0003724	RNA helicase activity	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0003676	nucleic acid binding	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0000166	nucleotide binding	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0005524	ATP binding	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0016787	hydrolase activity	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0005634	nucleus	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0004386	helicase activity	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0003723	RNA binding	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0000398	mRNA splicing, via spliceosome	NP_001077571.1
AT1G20920	AT1G20920.4	GO:0003724	RNA helicase activity	NP_001077571.1
AT1G23570	AT1G23570.2	GO:0016020	membrane	NP_001077587.1
AT1G23570	AT1G23570.2	GO:0016021	integral component of membrane	NP_001077587.1
AT1G50430	AT1G50430.2	GO:0016126	sterol biosynthetic process	NP_001077693.1
AT1G50430	AT1G50430.2	GO:0016020	membrane	NP_001077693.1
AT1G50430	AT1G50430.2	GO:0016021	integral component of membrane	NP_001077693.1
AT1G50430	AT1G50430.2	GO:0055114	oxidation-reduction process	NP_001077693.1
AT1G50430	AT1G50430.2	GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	NP_001077693.1
AT2G35345	AT2G35345.1			NP_001078008.1
AT3G01410	AT3G01410.1	GO:0003676	nucleic acid binding	NP_001078087.1
AT3G01410	AT3G01410.1	GO:0016740	transferase activity	NP_001078087.1
AT3G01410	AT3G01410.1	GO:0005634	nucleus	NP_001078087.1
AT3G01410	AT3G01410.1	GO:0004523	RNA-DNA hybrid ribonuclease activity	NP_001078087.1
AT3G01410	AT3G01410.1	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	NP_001078087.1
AT3G01410	AT3G01410.2	GO:0003676	nucleic acid binding	NP_001078087.1
AT3G01410	AT3G01410.2	GO:0016740	transferase activity	NP_001078087.1
AT3G01410	AT3G01410.2	GO:0005634	nucleus	NP_001078087.1
AT3G01410	AT3G01410.2	GO:0004523	RNA-DNA hybrid ribonuclease activity	NP_001078087.1
AT3G01410	AT3G01410.2	GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic	NP_001078087.1
AT3G23255	AT3G23255.1	GO:0016740	transferase activity	NP_001078201.1
AT5G17920	AT5G17920.1	GO:0008705	methionine synthase activity	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0010043	response to zinc ion	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0009506	plasmodesma	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0046686	response to cadmium ion	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0009570	chloroplast stroma	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0016740	transferase activity	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0046872	metal ion binding	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0008270	zinc ion binding	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0008168	methyltransferase activity	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0032259	methylation	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0005829	cytosol	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0009507	chloroplast	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0008652	cellular amino acid biosynthetic process	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0005777	peroxisome	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0005886	plasma membrane	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0005737	cytoplasm	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0005507	copper ion binding	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0005515	protein binding	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0009086	methionine biosynthetic process	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0005774	vacuolar membrane	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0048046	apoplast	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0005576	extracellular region	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0016020	membrane	NP_001078599.1
AT5G17920	AT5G17920.1	GO:0009651	response to salt stress	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0008705	methionine synthase activity	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0010043	response to zinc ion	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0009506	plasmodesma	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0046686	response to cadmium ion	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0009570	chloroplast stroma	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0016740	transferase activity	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0046872	metal ion binding	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0008270	zinc ion binding	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0008168	methyltransferase activity	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0032259	methylation	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0005829	cytosol	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0009507	chloroplast	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0008652	cellular amino acid biosynthetic process	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0005777	peroxisome	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0005886	plasma membrane	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0005737	cytoplasm	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0005507	copper ion binding	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0005515	protein binding	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0009086	methionine biosynthetic process	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0005774	vacuolar membrane	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0048046	apoplast	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0005576	extracellular region	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0016020	membrane	NP_001078599.1
AT5G17920	AT5G17920.2	GO:0009651	response to salt stress	NP_001078599.1
AT2G11000	AT2G11000.2	GO:0031417	NatC complex	NP_001118295.1
AT2G11000	AT2G11000.2	GO:0017196	N-terminal peptidyl-methionine acetylation	NP_001118295.1
AT4G35110	AT4G35110.4	GO:0003682	chromatin binding	NP_001119119.1
AT4G35110	AT4G35110.4	GO:0010468	regulation of gene expression	NP_001119119.1
AT1G40083	AT1G40083.1	GO:0008150	biological_process	NP_001154395.1
AT1G40083	AT1G40083.1	GO:0003674	molecular_function	NP_001154395.1
AT2G07732	AT2G07732.1	GO:0000287	magnesium ion binding	NP_001154505.1
AT2G07732	AT2G07732.1	GO:0005739	mitochondrion	NP_001154505.1
AT5G63550	AT5G63550.2	GO:2000779	regulation of double-strand break repair	NP_001154794.1
AT5G63550	AT5G63550.2	GO:0005634	nucleus	NP_001154794.1
AT5G63550	AT5G63550.2	GO:0042393	histone binding	NP_001154794.1
AT1G20680	AT1G20680.2			NP_001185046.1
AT2G07599	AT2G07599.1	GO:0005739	mitochondrion	NP_001189516.1
AT3G13235	AT3G13235.3	GO:0006508	proteolysis	NP_001189876.1
AT3G13235	AT3G13235.3	GO:0004190	aspartic-type endopeptidase activity	NP_001189876.1
AT3G13235	AT3G13235.3	GO:0043130	ubiquitin binding	NP_001189876.1
AT3G13235	AT3G13235.3	GO:0005515	protein binding	NP_001189876.1
AT3G54280	AT3G54280.2	GO:0005524	ATP binding	NP_001190085.1
AT3G57300	AT3G57300.2	GO:0010228	vegetative to reproductive phase transition of meristem	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0003677	DNA binding	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0005524	ATP binding	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0004386	helicase activity	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0005634	nucleus	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0006338	chromatin remodeling	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0006281	DNA repair	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0006351	transcription, DNA-templated	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0016887	ATPase activity	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0006355	regulation of transcription, DNA-templated	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0031011	Ino80 complex	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0042393	histone binding	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0016444	somatic cell DNA recombination	NP_001190117.1
AT3G57300	AT3G57300.2	GO:0045739	positive regulation of DNA repair	NP_001190117.1
AT3G57570	AT3G57570.2	GO:0008150	biological_process	NP_001190119.2
AT5G19400	AT5G19400.3	GO:0043021	ribonucleoprotein complex binding	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0007004	telomere maintenance via telomerase	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0040008	regulation of growth	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0000932	P-body	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0006952	defense response	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0005634	nucleus	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0005737	cytoplasm	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0005515	protein binding	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0007275	multicellular organism development	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0032210	regulation of telomere maintenance via telomerase	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0042162	telomeric DNA binding	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0070034	telomerase RNA binding	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0051321	meiotic cell cycle	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0090306	spindle assembly involved in meiosis	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0005697	telomerase holoenzyme complex	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0060548	negative regulation of cell death	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0012501	programmed cell death	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0031347	regulation of defense response	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0004540	ribonuclease activity	NP_001190336.1
AT5G19400	AT5G19400.3	GO:0043487	regulation of RNA stability	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0043021	ribonucleoprotein complex binding	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0007004	telomere maintenance via telomerase	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0040008	regulation of growth	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0000932	P-body	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0006952	defense response	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0005634	nucleus	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0005737	cytoplasm	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0005515	protein binding	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0007275	multicellular organism development	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0032210	regulation of telomere maintenance via telomerase	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0042162	telomeric DNA binding	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0070034	telomerase RNA binding	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0051321	meiotic cell cycle	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0090306	spindle assembly involved in meiosis	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0005697	telomerase holoenzyme complex	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0060548	negative regulation of cell death	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0012501	programmed cell death	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0031347	regulation of defense response	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0004540	ribonuclease activity	NP_001190336.1
AT5G19400	AT5G19400.1	GO:0043487	regulation of RNA stability	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0043021	ribonucleoprotein complex binding	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0007004	telomere maintenance via telomerase	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0040008	regulation of growth	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0000932	P-body	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0006952	defense response	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0005634	nucleus	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0005737	cytoplasm	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0005515	protein binding	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0007275	multicellular organism development	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0032210	regulation of telomere maintenance via telomerase	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0042162	telomeric DNA binding	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0070034	telomerase RNA binding	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0051321	meiotic cell cycle	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0090306	spindle assembly involved in meiosis	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0005697	telomerase holoenzyme complex	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0060548	negative regulation of cell death	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0012501	programmed cell death	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0031347	regulation of defense response	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0004540	ribonuclease activity	NP_001190336.1
AT5G19400	AT5G19400.2	GO:0043487	regulation of RNA stability	NP_001190336.1
AT5G09210	AT5G09210.1	GO:0006355	regulation of transcription, DNA-templated	NP_001318515.1
AT5G09210	AT5G09210.1	GO:0003677	DNA binding	NP_001318515.1
AT5G09210	AT5G09210.1	GO:0016020	membrane	NP_001318515.1
AT5G09210	AT5G09210.1	GO:0016021	integral component of membrane	NP_001318515.1
AT5G09210	AT5G09210.1	GO:0005634	nucleus	NP_001318515.1
AT5G09210	AT5G09210.1	GO:0003700	DNA-binding transcription factor activity	NP_001318515.1
AT5G09210	AT5G09210.1	GO:0000122	negative regulation of transcription by RNA polymerase II	NP_001318515.1
AT5G09210	AT5G09210.1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	NP_001318515.1
AT5G24080	AT5G24080.2	GO:0016740	transferase activity	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0005886	plasma membrane	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0016020	membrane	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0016021	integral component of membrane	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0000166	nucleotide binding	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0005524	ATP binding	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0016301	kinase activity	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0016310	phosphorylation	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0004672	protein kinase activity	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0006468	protein phosphorylation	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0004674	protein serine/threonine kinase activity	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0030246	carbohydrate binding	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0048544	recognition of pollen	NP_001318851.1
AT5G24080	AT5G24080.2	GO:0005516	calmodulin binding	NP_001318851.1
AT5G62570	AT5G62570.1	GO:0005516	calmodulin binding	NP_001318865.1
AT1G18690	AT1G18690.1	GO:0035252	UDP-xylosyltransferase activity	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0009969	xyloglucan biosynthetic process	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0033843	xyloglucan 6-xylosyltransferase activity	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0005802	trans-Golgi network	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0005768	endosome	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0016757	transferase activity, transferring glycosyl groups	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0016740	transferase activity	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0016020	membrane	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0016021	integral component of membrane	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0005794	Golgi apparatus	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0000139	Golgi membrane	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0010411	xyloglucan metabolic process	NP_001319036.1
AT1G18690	AT1G18690.1	GO:0016758	transferase activity, transferring hexosyl groups	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0035252	UDP-xylosyltransferase activity	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0009969	xyloglucan biosynthetic process	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0033843	xyloglucan 6-xylosyltransferase activity	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0005802	trans-Golgi network	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0005768	endosome	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0016757	transferase activity, transferring glycosyl groups	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0016740	transferase activity	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0016020	membrane	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0016021	integral component of membrane	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0005794	Golgi apparatus	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0000139	Golgi membrane	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0010411	xyloglucan metabolic process	NP_001319036.1
AT1G18690	AT1G18690.2	GO:0016758	transferase activity, transferring hexosyl groups	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0035252	UDP-xylosyltransferase activity	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0009969	xyloglucan biosynthetic process	NP_001319036.1
